Age,Sex,Occupation,Fee Structure ID,Loyalty Classification,Banking Relationship,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Contact_to_Meeting_Days,Bank_Joined_Days,Nationality
61,F,Staff Accountant II,H,Silver,Retail,257120.2197,16263.990000000002,1,8614.0584,436988.4390000001,1273391.229456,253337.83407071998,80698.2588,1128082.1400000001,1,-155,5081,Asian
56,F,Assistant Media Planner,L,Jade,Retail,145704.55380000002,3078.27,1,1895.0568000000003,384153.3696000001,25590.902064000005,64095.36701568,10492.372800000003,199617.81840000002,3,-199,12540,Asian
43,F,Staff Accountant I,L,Jade,Retail,34404.16,19668.4,2,5384.700000000001,1102836.16,89694.55680000002,35877.82272,22452.06,1115542.4400000002,3,-365,3338,Indian
63,F,Compensation Analyst,MR,Jade,Commercial,129060.87740000001,17283.63,1,395.577,1000409.3190000001,472404.21228000004,396819.5383152001,37271.052,1631986.902,2,-606,7012,Pacific Islander
41,M,Geologist I,L,Jade,Retail,129981.31320000002,10242.84,2,2383.8624000000004,373846.68720000004,11024.173872000001,25028.430874560006,24422.1048,441603.5328000001,2,109,11005,Indian
58,F,Web Designer II,H,Jade,Private Bank,123545.41949999997,2984.5199999999995,1,2789.4374999999995,1400623.1235,324420.5844,42985.72743299999,31481.784,1255331.5199999998,3,-107,4524,European
26,F,Media Manager IV,MR,Jade,Investments Only,308182.92919999996,64332.659999999996,1,4458.608,649331.837,77431.58114999998,133711.12062,12045.066,176113.98200000002,0,-433,5605,Indian
21,M,Accounting Assistant II,H,Gold,Retail,122579.40939999999,10312.539999999999,1,4959.3634999999995,963017.5555,368467.19532,721419.9824159999,11782.2215,861771.2564999999,1,-354,13146,European
41,F,Programmer II,H,Jade,Retail,30942.074000000004,4469.9800000000005,1,3338.6436000000003,276532.7712,108193.36350000002,22381.687365,23955.903600000005,622223.7048000001,0,-17,11201,Indian
36,F,Administrative Assistant IV,H,Jade,Retail,50651.5625,8097.25,3,509.205,278071.3725,94771.75305,153748.94398649997,16732.385,430027.77249999996,3,280,5540,European
34,M,Help Desk Operator,H,Silver,Commercial,502309.08,69381.0,2,10639.314,1469913.228,507299.4989999999,1168238.27484,75592.251,2143826.0549999997,0,-147,5225,Asian
52,F,Geological Engineer,H,Jade,Retail,87019.7328,11316.5,2,1253.6809999999998,273944.5566,54150.418035999995,73580.8621548,21530.9094,772573.6018,1,231,3785,European
78,F,Junior Executive,L,Jade,Retail,246615.84000000003,35332.0,3,5835.256000000001,622181.8800000001,552072.84336,308192.24343360006,29778.576,1078308.2880000002,0,-372,8397,European
34,M,Biostatistician IV,L,Jade,Private Bank,130023.36149999998,15464.38,1,219.186,366887.1429,221138.08380000002,271999.843074,31010.8338,787555.5561,0,105,4289,Pacific Islander
75,M,Software Test Engineer I,L,Jade,Investments Only,82703.8107,8635.67,2,8521.803399999999,842201.3752,990288.0754120001,424345.83052355994,32253.4398,272858.21140000003,3,-64,5523,European
47,F,Internal Auditor,H,Gold,Retail,137256.0924,18322.92,2,1050.5628,1035297.6605999998,180073.64138400002,471515.90405471995,34284.826799999995,469532.2842,0,-137,10754,European
34,M,Chemical Engineer,H,Platinum,Investments Only,224640.7533,57090.719999999994,3,3550.74,1091959.4539999997,532945.7622399998,127330.8253568,61733.24199999999,454281.86649999995,1,68,11314,European
79,F,Accountant III,H,Jade,Retail,147292.908,24297.42,1,4097.6208,105266.6496,35438.94396,70287.23885400001,7805.9142,1112746.4586,3,-197,11417,Indian
73,F,Registered Nurse,H,Platinum,Retail,263248.9704,47651.76,2,7069.155600000001,693956.2266,554930.669748,235234.17034572002,1624.1862,2518271.847,3,-472,3890,European
80,M,Cost Accountant,L,Jade,Investments Only,193690.9314,11655.54,2,3610.4175,50809.387500000004,255463.27380000002,174627.39501899996,4469.13,626121.9,2,12,3826,European
73,F,Developer IV,L,Gold,Investments Only,91243.0464,37750.72,3,6660.845200000001,122158.6076,639548.778304,1273038.67344512,12504.166,411062.27160000004,2,-142,5190,European
51,M,Accounting Assistant II,L,Platinum,Investments Only,162807.39,70394.40000000001,1,811.9620000000001,709300.7100000001,517118.76090000005,274495.08104099997,2337.768,270162.93600000005,2,-283,8194,Asian
49,F,Junior Executive,MR,Gold,Investments Only,193729.93639999998,44815.46,2,2062.1524,66053.911,337704.050068,534461.0939760399,47911.894799999995,992911.8584,2,220,5972,European
81,F,Software Engineer I,MR,Platinum,Retail,131497.0944,15962.660000000002,1,3127.8640000000005,57219.89880000001,233012.21138999998,506302.2478917,21798.321400000004,498564.84460000007,0,-403,7864,European
27,M,Accountant I,H,Gold,Retail,319205.9145,49416.0,1,9.5526,0.0,360077.00992199994,135307.81161576,17710.520399999998,945483.9752999999,3,36,9645,Asian
56,F,Automation Specialist IV,MR,Silver,Commercial,44088.512,32418.88,2,2795.52,1485747.3280000002,153723.93088000003,55588.55694080001,40504.256,717420.2880000001,1,-29,12500,European
33,M,Biostatistician I,H,Silver,Commercial,420683.6574,24472.55,1,1011.5625,820479.8999999999,683649.27475,886562.1977874999,14157.724999999999,1549847.5875,1,-264,7422,European
79,F,Nurse,L,Jade,Private Bank,32062.522800000002,19653.48,1,1612.8189,231528.627,170536.528602,109748.50792290003,5492.470499999999,352732.7331,0,101,7831,European
56,M,Human Resources Manager,MR,Jade,Private Bank,92487.6506,23690.51,1,2199.1834,560657.2518,49811.651135999986,134675.94566399997,5026.454699999999,407139.67799999996,2,-29,4283,European
55,M,Analyst Programmer,MR,Gold,Private Bank,130572.5124,49441.920000000006,1,3225.2286000000004,120782.41560000001,206472.95103600004,264528.28668024,17000.1876,854418.2526,0,-253,12528,European
77,F,Database Administrator III,H,Gold,Investments Only,54753.75,5311.0,1,1408.3374999999999,80386.105,14158.1122,4470.9828,8745.7225,390608.62,1,-158,13087,Pacific Islander
49,F,Web Designer III,MR,Silver,Retail,180214.7886,9226.35,2,587.7144,791256.5891999999,460993.15987199993,783688.3717824001,36763.448399999994,1991318.0994,2,-81,11023,Pacific Islander
67,F,Senior Editor,H,Jade,Private Bank,52826.77799999999,26160.46,2,2617.6122,385480.4256,277114.40226,86634.71312760001,20544.7023,71268.3279,2,-485,11512,European
66,M,Health Coach III,L,Gold,Investments Only,43622.88,19416.4,1,229.9,39047.14000000001,87604.44,223391.322,16286.6,237137.34000000005,0,-39,7809,European
64,M,Web Developer I,MR,Silver,Retail,142841.26080000002,5405.0,1,3431.3884000000003,508939.36319999996,450589.01271999994,171867.52342320004,12316.3344,542464.522,0,-487,3784,Maori
49,M,Systems Administrator III,H,Silver,Private Bank,90437.656,12737.400000000001,3,2830.3616,573366.172,101203.15928,80786.52192960001,9723.8664,704110.0032000002,2,129,6983,Maori
65,M,Biostatistician III,H,Jade,Retail,32301.4668,5597.4,1,1751.4162,310657.961,64447.347312,14035.200081280002,13795.280599999998,579453.8262,1,-12,7173,Pacific Islander
32,F,Project Manager,MR,Jade,Retail,293419.065,16443.25,1,4496.6275000000005,2183384.715,634781.06505,281227.247607,399.20250000000004,1633759.2874999999,2,-423,7810,European
29,M,Software Engineer III,H,Gold,Retail,55011.84,14206.199999999999,1,3955.056,479936.37600000005,474674.976,299657.71872,43547.801999999996,698612.484,3,153,10388,Pacific Islander
31,F,Engineer III,H,Jade,Private Bank,77971.4628,7820.400000000001,1,856.2084,478157.92159999994,29222.532,25358.66388,24984.354000000003,487689.4464,0,-379,4783,European
22,M,Health Coach I,H,Jade,Retail,84111.50520000001,18940.38,1,156.67200000000003,304608.17600000004,61947.57568000001,84900.7826688,3455.216000000001,356683.93600000005,3,-237,8351,European
58,F,Human Resources Assistant I,H,Jade,Retail,98369.29340000001,3050.25,1,1441.8936,213195.06530000002,235795.677222,198629.78714558002,23821.7763,312562.6112,3,-39,8065,European
75,M,Software Test Engineer II,H,Silver,Institutional,243490.73279999994,63872.759999999995,1,5578.339199999999,1045569.0336,214328.72563200002,382765.88883456,32217.3936,1105110.3504,1,-143,5742,Indian
18,M,Web Designer II,MR,Jade,Commercial,72431.33959999999,34975.159999999996,1,5303.502599999999,1210753.0797999997,127568.29139999999,29765.93466,25402.352799999997,1532523.4671999998,0,-68,7906,Indian
47,F,Sales Associate,MR,Silver,Retail,456003.99,25171.2,2,7969.454999999999,1248952.365,674555.5588499999,237200.2743825,71113.77,1347657.8399999999,2,-527,8961,European
41,F,Biostatistician I,H,Platinum,Retail,71422.04160000001,32993.520000000004,1,4253.34,315175.42000000004,33404.455559999995,7799.739141600003,38428.488000000005,813247.1200000001,2,61,3746,European
36,F,Accounting Assistant III,L,Jade,Retail,39077.376,14707.68,2,1305.3768000000002,1187138.9088,144670.38955200004,242934.96953232,11997.928800000002,1231614.2904,0,151,3701,European
84,F,Dental Hygienist,H,Jade,Investments Only,274099.1211,26051.76,2,2461.9392000000003,563101.9506,0.0,0.0,4870.2402,520918.4862,3,-399,6609,European
26,M,Developer IV,MR,Silver,Commercial,260826.74799999996,53468.1,3,270.59999999999997,804359.9759999999,295539.40128,106261.85338559997,46060.056,296849.184,0,-136,12656,European
74,F,Engineer IV,L,Platinum,Retail,334331.8125,18591.75,2,1029.3,164253.285,500709.98204999993,396615.0120975001,46006.425,1094810.0175,1,29,10726,Indian
47,M,Software Consultant,H,Jade,Retail,61398.259000000005,20668.94,1,550.746,360003.86799999996,305000.73912,109324.94025599996,2850.729,118884.96899999998,2,-268,5943,Asian
82,F,Software Test Engineer II,H,Gold,Commercial,63246.3,18575.7,1,2914.1819999999993,448652.6999999999,362849.33916,93209.8692024,17124.282,237993.69599999997,0,-372,7710,European
25,M,Accountant II,MR,Platinum,Retail,158091.856,33824.44,3,1080.0296,207662.7592,177146.436896,70553.14986720002,17133.5944,235133.6936,0,7,3345,European
44,M,Software Engineer II,MR,Jade,Retail,131729.85,6664.0599999999995,2,6215.339999999999,863722.1,161746.55550000002,166059.79697999996,41209.82,506592.1,2,-58,4270,European
38,F,Health Coach IV,H,Gold,Commercial,116926.9416,18431.28,2,3828.195,1049088.915,200893.53375,58413.65827500001,7382.34,1299697.245,1,24,6181,Asian
74,M,Associate Professor,H,Gold,Investments Only,148224.72,27518.0,2,27.808000000000007,302048.916,28675.634879999998,52337.65875840001,17272.56,456098.916,3,-352,11973,Indian
35,F,Computer Systems Analyst I,MR,Jade,Retail,348248.55519999994,65025.99999999999,1,3435.3572,1369215.6476,124963.24137599999,169226.53687391998,6690.9704,2698297.8302,0,114,13053,Asian
74,M,Health Coach I,H,Silver,Commercial,19637.777700000002,9527.23,2,78.1448,24331.267600000003,83660.935908,40993.858594920006,17286.2572,100054.71960000001,0,-50,4987,Indian
62,M,Electrical Engineer,MR,Jade,Investments Only,150304.49279999998,7326.44,1,767.0608,523866.0856,199374.8328,224185.92310400002,33854.224799999996,607800.0719999999,1,-361,11847,Indian
23,M,Statistician I,L,Jade,Retail,52109.1276,14277.05,1,209.684,205552.0472,116949.64420800001,88665.15618287999,6681.615999999999,1148304.5048,1,127,8963,European
68,M,Programmer Analyst III,MR,Platinum,Retail,156091.75009999998,20609.04,3,382.87199999999996,707577.9,112495.38912,252896.8925088,35301.624,837133.632,2,107,7576,European
79,M,Human Resources Assistant II,H,Jade,Investments Only,338383.13,57267.049999999996,1,3505.859,1565513.7225,497152.14885000006,144603.76082599993,74778.17199999999,884890.5449999999,1,-137,12535,Indian
29,F,Assistant Professor,H,Silver,Retail,198553.59160000004,20851.74,1,5581.3121,414518.5681,696263.264697,570935.8770515401,40208.750400000004,1522411.2267,3,-213,3376,European
52,M,Accounting Assistant III,MR,Silver,Commercial,190119.93,47110.05,1,3525.21,527884.11,122860.1946,23741.902469999997,6920.9400000000005,136723.47,1,-367,9328,European
68,F,Administrative Assistant I,MR,Jade,Retail,147956.79360000003,52216.520000000004,1,2977.8560000000007,701005.5808000001,302231.7598720001,279467.92093696,23058.963200000006,1504310.0352000003,3,67,9246,Indian
41,M,Geologist IV,MR,Gold,Investments Only,91071.75000000001,33111.54,1,8062.645800000001,677123.9442,298923.343224,147703.2990048,7880.756400000001,1554534.9402000003,0,-37,6713,Pacific Islander
70,M,Help Desk Operator,MR,Gold,Retail,96545.36760000001,23191.74,1,3386.4468000000006,1104753.0252,630243.8604000001,252097.54416,39556.0506,1941061.8744,3,215,10797,Indian
32,F,Assistant Media Planner,H,Jade,Investments Only,63765.0,11354.0,1,2644.75,1012372.6699999999,541210.2871,478805.42746499996,62053.28999999999,1665045.8499999999,3,-137,4719,Asian
47,M,Technical Writer,MR,Jade,Investments Only,191715.4008,31923.72,1,1296.4536,402401.84400000004,316098.12967200007,121257.3153168,19337.292,673780.4424,0,-115,7550,Indian
83,M,Human Resources Assistant I,MR,Silver,Private Bank,218312.27399999998,21480.879999999997,2,5886.562,1757312.986,389770.54974,402363.13673160004,30773.908000000003,735797.502,1,-163,5957,Asian
24,M,Software Consultant,H,Platinum,Commercial,157167.46889999998,31498.249999999996,1,1909.3044,597244.5318,128881.798746,51169.55739401999,42714.8045,836453.628,3,-366,8130,European
84,F,Administrative Assistant IV,L,Gold,Institutional,101929.59,13019.3,1,1163.8059999999998,614181.3019999999,137911.62209999998,373280.79048399994,12590.017999999998,516128.9489999999,3,-85,5064,European
29,M,Recruiter,H,Jade,Investments Only,40985.49,19729.5,3,646.125,358194.375,114664.93500000001,37333.11584999999,13412.625,222160.875,1,-365,7020,Indian
85,M,Staff Scientist,H,Jade,Retail,109218.7008,6820.8,1,2767.2960000000003,587928.768,128873.23008000002,68530.2352896,13413.792,566786.3040000001,2,-168,3538,Maori
51,M,Web Developer III,H,Jade,Retail,174258.5152,34182.52,1,5185.776400000001,648432.6688,830895.175076,198783.7823916,36318.32520000001,452950.7736,3,295,4951,European
59,F,Senior Developer,H,Jade,Investments Only,74059.23479999999,14702.599999999999,2,1361.5608,374815.98939999996,216865.838823,124336.41425851999,8446.3977,962931.9900999999,2,-193,3475,European
84,M,Health Coach IV,H,Silver,Private Bank,158874.1406,38794.28,1,2366.2786,261364.7603,101648.451359,46915.77114132999,40839.4567,334072.2245,0,2,12721,Indian
69,F,Office Assistant II,MR,Jade,Retail,71958.90000000001,13998.9,1,2756.8319999999994,124510.614,120782.76857999997,81093.9746238,15957.534,639874.9199999999,1,-398,11088,Indian
17,F,Operator,H,Jade,Commercial,189074.1909,13258.42,1,4138.7784,291504.549,81405.155,162184.1165,11482.618400000001,358381.3591,3,-259,5678,European
78,F,Software Engineer III,H,Platinum,Retail,74408.6892,28689.62,2,494.7600000000001,24949.0976,218375.18976000007,61145.0531328,12141.516800000001,326434.34880000004,2,-76,8535,Pacific Islander
25,F,Dental Hygienist,H,Jade,Retail,447928.0644000001,42888.810000000005,1,3074.9334000000003,841124.6151,222491.69712000003,457697.2055040001,33497.7258,347546.2452,3,283,3271,Maori
61,F,Web Designer I,MR,Gold,Retail,309939.20999999996,51303.6,2,10999.170000000002,1198037.8440000003,691706.3040000001,145258.32384,44952.264,3619311.372,3,-290,9770,Pacific Islander
61,M,Editor,L,Silver,Retail,151227.36119999996,25749.749999999996,1,397.404,455965.0704,276609.79835999996,79800.03223920002,13699.1064,796820.2368000001,2,17,6297,Indian
48,M,Analog Circuit Design manager,H,Jade,Commercial,401412.6675,48428.149999999994,2,3172.6485,1511484.732,498247.56324000005,399309.83282519993,51370.224,155806.1085,3,-374,4211,Asian
35,M,VP Marketing,H,Silver,Investments Only,263452.26239999995,17416.8,1,3107.16,0.0,297957.89087999996,507980.0042208,16429.392,980875.656,2,-207,11170,European
21,M,Senior Editor,L,Silver,Retail,404760.252,41342.340000000004,2,4733.352000000001,1022752.8480000001,212749.04352000006,145323.96203519998,64179.71040000001,477400.9344,0,-32,8776,European
23,F,Civil Engineer,H,Gold,Retail,122608.8909,31945.22,1,226.90890000000005,248995.7649,182304.27765600002,54616.363730640005,24666.311300000005,166961.6282,2,-120,8553,European
24,F,Media Manager I,MR,Jade,Retail,72688.9531,5604.0199999999995,1,2577.2646,44247.1308,16596.874512,24784.66593792,24564.966,362233.8036,1,-312,7101,European
50,F,Nurse,MR,Gold,Retail,96295.6143,23986.83,1,1323.8784,311472.6264,136197.65016000002,60174.598161600006,21291.8472,396610.1802,2,-56,10960,European
20,F,Accountant III,MR,Jade,Retail,127182.6864,10617.09,3,3142.3853999999997,92065.3734,183771.222096,567065.4853248,24086.6472,613018.8372,2,-458,11480,Indian
49,M,Senior Quality Engineer,H,Gold,Investments Only,86309.1684,19088.420000000002,1,954.9540000000001,184129.94600000003,39799.66848000001,71888.151192,11832.678000000002,506381.30400000006,2,-265,11689,European
42,F,Engineer IV,MR,Gold,Retail,39039.1587,35780.3,1,1286.8824,429795.6401,110466.90137400004,253034.18467668004,13282.1604,83301.84370000001,2,39,11369,Indian
76,M,Administrative Assistant IV,MR,Silver,Retail,302021.94419999997,5907.2,3,825.5169999999999,1259346.4114,75017.90065,137282.7581895,23172.426199999998,2366879.6997999996,1,-384,4549,Indian
66,F,Internal Auditor,MR,Silver,Investments Only,274381.44269999996,26955.98,1,4251.7244,665570.3168,488444.2263999999,424485.68052799994,47412.8722,1827431.0459999999,2,35,9039,European
42,F,Software Test Engineer III,MR,Silver,Retail,122710.89600000002,20009.16,1,4783.5468,763332.6060000001,48804.65568000001,76867.332696,14130.2664,334266.1452,2,-82,11660,European
29,M,VP Accounting,H,Jade,Institutional,120617.6745,15025.679999999998,1,1932.4284000000002,575222.3166,455869.498824,122324.98218443998,16839.3519,970188.1085999999,2,-476,11053,European
22,F,Statistician I,MR,Jade,Retail,108847.4742,7393.47,1,2935.2284999999997,129402.6672,177419.91934799997,294010.1520624,18533.7825,640916.3982,3,-457,4208,European
36,F,Accountant II,H,Platinum,Investments Only,93309.597,22124.7,2,937.3129,695931.2574,319474.943478,168820.58287710004,30101.037200000002,935708.8081,3,43,11434,Asian
35,F,Biostatistician III,L,Silver,Retail,131076.39239999998,13731.44,1,6092.0574,256672.8554,109714.074768,159730.785324,53942.10019999999,1750716.4866,2,-330,7845,Indian
84,F,Information Systems Manager,MR,Jade,Investments Only,83441.31760000001,2173.28,1,862.3454,322636.1082000001,37398.9749,133514.34039300002,1917.3280000000004,432785.24520000006,1,-392,9891,Asian
48,F,Programmer Analyst II,MR,Platinum,Investments Only,359386.36799999996,4756.08,1,2420.8736,1546378.4144,872458.8659199999,163201.12903680003,75357.4048,168061.1712,2,-218,13073,European
25,M,Accounting Assistant IV,MR,Jade,Retail,113118.5748,12160.5,2,1536.5394,641964.6618,340871.84702999995,349792.5357927001,6328.9116,433718.3532,3,-292,6138,Asian
20,M,Programmer Analyst IV,L,Platinum,Retail,110102.322,12255.54,1,1513.5120000000002,37756.8048,151887.88929599998,91289.85898032002,5837.4888,469924.5408,1,57,7254,European
79,F,Health Coach IV,L,Jade,Retail,343198.6635,27522.88,1,4049.9305,140800.99109999998,582243.055856,306509.38011848,11408.9437,637394.9813,0,28,8687,European
24,M,Computer Systems Analyst IV,MR,Gold,Investments Only,139310.3199,37632.9,3,2109.0539999999996,252780.62279999998,113664.96581999998,26792.45622900001,10164.2796,303349.11179999996,2,-494,13134,European
32,F,Speech Pathologist,MR,Silver,Investments Only,89269.82999999999,18376.2,3,329.2169999999999,32037.077999999998,199933.90683,152113.64944229997,1727.5199999999998,154043.361,3,-252,4128,Asian
76,F,Statistician IV,L,Silver,Retail,75161.90639999999,13911.24,2,2286.7572,557461.2707999999,16645.771968,11901.726957119998,18131.5176,491968.84799999994,3,-324,6283,European
40,M,Paralegal,MR,Gold,Investments Only,124589.3747,23297.54,1,468.2048,124046.98879999999,400359.3655039999,129413.45976832004,22425.8496,717391.36,0,-137,10145,Asian
43,F,Editor,MR,Silver,Investments Only,435632.1697000001,37078.86,1,3008.915,424214.245,76882.9698,56978.823174000005,10069.15,961426.375,0,31,10629,Indian
71,F,Programmer Analyst IV,H,Silver,Retail,88221.815,12126.95,1,5284.592500000001,918742.143,348097.1571,156643.72069500008,15380.772,1451850.5155000002,3,-218,3540,European
29,M,Civil Engineer,H,Jade,Private Bank,48788.1453,30341.940000000002,1,872.3244000000001,1099020.4812,511219.18152,337404.6598032,53970.2502,536373.732,1,59,9895,Asian
66,M,Administrative Officer,H,Silver,Retail,324199.8375,27648.39,1,365.057,557907.8890000001,369451.9136000001,74814.01250399997,12758.361000000003,359677.70300000004,3,16,11228,European
61,F,Health Coach III,MR,Jade,Retail,282658.4893,30651.239999999998,1,10127.2827,436116.46859999996,512232.4007459999,227346.9833448,57308.33609999999,588222.3054,1,-50,9053,European
24,F,Administrative Officer,H,Silver,Retail,274736.5632,45424.799999999996,2,641.8728,702014.7096,105053.48179199998,139270.90157567998,30227.9184,865724.1336,0,-22,10732,Maori
23,F,Systems Administrator IV,MR,Gold,Investments Only,147339.8622,27029.67,1,3638.1464999999994,245108.44359999997,121975.18470799999,53879.38331412,4424.421799999999,959192.1932,0,-97,8383,Asian
48,F,Budget/Accounting Analyst I,H,Jade,Commercial,81683.4375,23580.899999999998,2,2171.3125,418824.875,644753.3925,73686.10199999998,37787.75,742030.1875,1,-149,12984,Asian
26,F,Senior Financial Analyst,H,Jade,Retail,76005.2996,40640.6,2,5570.9,495739.92,399981.5952,103025.56239999998,30266.719999999998,172313.94,0,-56,9633,Asian
70,F,Software Test Engineer II,L,Gold,Investments Only,206026.56,3094.2,2,2470.8179999999998,818737.3439999999,411037.46472,357177.3831360001,23541.924,256471.12199999997,3,-318,8923,European
85,M,Product Engineer,H,Jade,Retail,288440.80649999995,5937.12,1,1909.7694000000001,397326.4218,168773.81875200002,263367.52573824005,15873.9966,654569.8236,2,-612,11526,Asian
37,F,Staff Scientist,MR,Platinum,Retail,57825.3168,47025.14,2,3151.3856,627597.9264,395038.93811200006,328186.1947392,73866.70079999999,1634407.296,2,-38,7910,Asian
31,F,Systems Administrator IV,H,Jade,Private Bank,412837.035,62194.6,1,7104.708,927808.2945,441729.02799,428967.9671813999,104897.6415,958339.0619999999,0,18,9293,Maori
85,F,Data Coordiator,L,Jade,Commercial,130272.5226,20605.37,3,1928.394,230291.8668,82050.55217999998,32508.19764540001,34351.0956,985553.2440000001,0,-279,4216,European
37,F,Assistant Professor,H,Gold,Private Bank,360800.2112,18238.48,1,526.4216,338782.79079999996,45616.054848,8748.92539136,27404.414399999998,520344.8832,2,128,10377,European
71,F,Dental Hygienist,H,Silver,Retail,35234.55,15378.9,3,3792.0660000000003,144620.706,115353.45779999999,257073.42024000004,23225.952,387030.324,0,-159,4755,Asian
72,M,Account Representative I,H,Gold,Retail,95828.93810000001,9459.789999999999,2,1871.164,312519.5158,93925.64722199999,236464.93246072,2184.5317999999997,824674.1448,0,-79,6121,European
35,M,Health Coach II,H,Gold,Retail,146788.5,39834.5,1,2397.235,122986.185,367870.9769,223767.03560399998,27457.355,1002791.63,3,-7,9216,Maori
56,M,Help Desk Operator,H,Jade,Retail,70386.82200000001,49752.78,1,4733.414400000001,1229595.6816,190930.69881600002,86670.01721664,39190.008,1637999.5632,3,259,6429,Pacific Islander
19,M,Administrative Assistant II,MR,Jade,Retail,54632.704000000005,6161.400000000001,1,833.7476000000001,60365.8608,34781.54612800001,76916.90486591999,6030.4132,412083.0728,3,103,10894,Pacific Islander
26,F,Staff Accountant III,MR,Jade,Private Bank,390608.45999999996,51660.0,2,6590.61,1303392.78,54839.16936,36534.232828800006,35486.352,1703047.68,2,-130,12309,European
34,M,Account Representative I,H,Silver,Institutional,209330.6866,12650.789999999999,1,2424.3839999999996,469557.504,157333.10075999997,105814.22266799999,62.586,187166.54399999997,2,-103,4191,European
75,F,Mechanical Systems Engineer,H,Jade,Investments Only,112683.7344,5161.2,2,5247.151,832861.832,716470.65952,173348.68034879997,26418.788999999997,1165504.967,1,-426,8341,Asian
68,F,Registered Nurse,L,Silver,Private Bank,231396.2784,40382.64,2,757.4112,113522.57280000001,577946.596608,251867.45159424003,6840.2016,1228111.1712,1,-44,12204,European
62,F,Staff Accountant III,MR,Jade,Retail,49986.846,19271.46,1,3557.9856,181563.1792,28061.729280000007,38070.4127232,14690.7696,191065.76320000002,2,250,4710,Asian
83,F,Automation Specialist III,H,Jade,Retail,179434.36800000002,4757.76,3,3449.0879999999997,391545.216,284776.59648,95325.2186112,9890.304,730708.2239999999,0,84,5547,Pacific Islander
30,F,VP Product Management,H,Jade,Private Bank,111485.59999999999,15780.76,2,1768.3182000000002,109518.6906,206941.84790400002,190855.04765184002,42470.604,810263.1636,1,-148,6200,Indian
