Client ID,Age,Sex,Joined Bank,Banking Contact ID,NationalityID,Occupation,AdvisorID,Last Contact,Last Meeting,Fee Structure ID,Loyalty Classification,Banking Relationship,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,Contact_to_Meeting_Days,Bank_Joined_Days,Occurrence
NZ53604,43,F,2015-12-17,BC_16,I,Staff Accountant I,IA2,2015-11-28,2014-11-28,L,Jade,Retail,34404.16,19668.4,2,5384.700000000001,1102836.16,204450.828,89694.55680000002,35877.82272,22452.06,1115542.4400000002,3,1,-365,3338,1
NZ32064,63,F,2005-11-25,BC_1,PI,Compensation Analyst,IA5,2016-07-12,2014-11-14,MR,Jade,Commercial,129060.87740000001,17283.63,1,395.577,1000409.3190000001,966281.3433,472404.21228000004,396819.5383152001,37271.052,1631986.902,2,4,-606,7012,1
NZ72934,41,M,1994-12-20,BC_26,I,Geologist I,IA1,2015-08-25,2015-12-12,L,Jade,Retail,129981.31320000002,10242.84,2,2383.8624000000004,373846.68720000004,38406.799296000005,11024.173872000001,25028.430874560006,24422.1048,441603.5328000001,2,1,109,11005,1
NZ16101,58,F,2012-09-17,BC_1,E,Web Designer II,IA15,2016-06-06,2016-02-20,H,Jade,Private Bank,123545.41949999997,2984.5199999999995,1,2789.4374999999995,1400623.1235,547459.7361750001,324420.5844,42985.72743299999,31481.784,1255331.5199999998,3,2,-107,4524,1
NZ93121,26,F,2009-10-02,BC_15,I,Media Manager IV,IA16,2016-05-18,2015-03-12,MR,Jade,Investments Only,308182.92919999996,64332.659999999996,1,4458.608,649331.837,103871.63325000001,77431.58114999998,133711.12062,12045.066,176113.98200000002,0,5,-433,5605,1
NZ93310,21,M,1989-02-08,BC_48,E,Accounting Assistant II,IA6,2015-12-30,2015-01-10,H,Gold,Retail,122579.40939999999,10312.539999999999,1,4959.3634999999995,963017.5555,1115098.0910999998,368467.19532,721419.9824159999,11782.2215,861771.2564999999,1,2,-354,13146,1
NZ71301,41,F,1994-06-07,BC_29,I,Programmer II,IA17,2016-01-30,2016-01-13,H,Jade,Retail,30942.074000000004,4469.9800000000005,1,3338.6436000000003,276532.7712,132960.519,108193.36350000002,22381.687365,23955.903600000005,622223.7048000001,0,1,-17,11201,1
NZ21279,36,F,2009-12-06,BC_1,E,Administrative Assistant IV,IA18,2015-06-10,2016-03-16,H,Jade,Retail,50651.5625,8097.25,3,509.205,278071.3725,302540.59627499996,94771.75305,153748.94398649997,16732.385,430027.77249999996,3,1,280,5540,1
NZ98618,34,M,2010-10-17,BC_24,A,Help Desk Operator,IA1,2016-05-26,2015-12-31,H,Silver,Commercial,502309.08,69381.0,2,10639.314,1469913.228,1724818.2965999998,507299.4989999999,1168238.27484,75592.251,2143826.0549999997,0,4,-147,5225,1
NZ35589,52,F,2014-09-26,BC_17,E,Geological Engineer,IA12,2015-10-01,2016-05-19,H,Jade,Retail,87019.7328,11316.5,2,1253.6809999999998,273944.5566,192711.78183400002,54150.418035999995,73580.8621548,21530.9094,772573.6018,1,1,231,3785,1
NZ40198,78,F,2002-02-09,BC_42,E,Junior Executive,IA17,2016-06-20,2015-06-14,L,Jade,Retail,246615.84000000003,35332.0,3,5835.256000000001,622181.8800000001,765153.5899200002,552072.84336,308192.24343360006,29778.576,1078308.2880000002,0,3,-372,8397,1
NZ49616,34,M,2013-05-10,BC_34,PI,Biostatistician IV,IA14,2015-08-09,2015-11-22,L,Jade,Private Bank,130023.36149999998,15464.38,1,219.186,366887.1429,447804.619695,221138.08380000002,271999.843074,31010.8338,787555.5561,0,1,105,4289,1
NZ55475,75,M,2009-12-23,BC_3,E,Software Test Engineer I,IA18,2015-09-17,2015-07-15,L,Jade,Investments Only,82703.8107,8635.67,2,8521.803399999999,842201.3752,2098819.503112,990288.0754120001,424345.83052355994,32253.4398,272858.21140000003,3,4,-64,5523,1
NZ61272,47,F,1995-08-28,BC_38,E,Internal Auditor,IA1,2016-05-16,2015-12-31,H,Gold,Retail,137256.0924,18322.92,2,1050.5628,1035297.6605999998,976553.2090439999,180073.64138400002,471515.90405471995,34284.826799999995,469532.2842,0,1,-137,10754,1
NZ33884,34,M,1994-02-14,BC_9,E,Chemical Engineer,IA6,2015-09-26,2015-12-03,H,Platinum,Investments Only,224640.7533,57090.719999999994,3,3550.74,1091959.4539999997,828226.5223999998,532945.7622399998,127330.8253568,61733.24199999999,454281.86649999995,1,3,68,11314,1
NZ53121,79,F,1993-11-03,BC_28,I,Accountant III,IA13,2015-11-10,2015-04-27,H,Jade,Retail,147292.908,24297.42,1,4097.6208,105266.6496,187826.40298800002,35438.94396,70287.23885400001,7805.9142,1112746.4586,3,1,-197,11417,1
NZ25680,73,F,2014-06-13,BC_11,E,Registered Nurse,IA16,2016-05-30,2015-02-13,H,Platinum,Retail,263248.9704,47651.76,2,7069.155600000001,693956.2266,1420246.290372,554930.669748,235234.17034572002,1624.1862,2518271.847,3,3,-472,3890,1
NZ55454,80,M,2014-08-16,BC_5,E,Cost Accountant,IA18,2015-12-30,2016-01-11,L,Jade,Investments Only,193690.9314,11655.54,2,3610.4175,50809.387500000004,342138.313125,255463.27380000002,174627.39501899996,4469.13,626121.9,2,2,12,3826,1
NZ96454,73,F,2010-11-21,BC_32,E,Developer IV,IA15,2015-06-22,2015-01-31,L,Gold,Investments Only,91243.0464,37750.72,3,6660.845200000001,122158.6076,2137439.338016,639548.778304,1273038.67344512,12504.166,411062.27160000004,2,3,-142,5190,1
NZ14292,51,M,2002-08-31,BC_43,A,Accounting Assistant II,IA13,2016-06-15,2015-09-06,L,Platinum,Investments Only,162807.39,70394.40000000001,1,811.9620000000001,709300.7100000001,1667444.1678000004,517118.76090000005,274495.08104099997,2337.768,270162.93600000005,2,4,-283,8194,1
NZ67206,49,F,2008-09-30,BC_3,E,Junior Executive,IA1,2015-06-29,2016-02-04,MR,Gold,Investments Only,193729.93639999998,44815.46,2,2062.1524,66053.911,684295.0488219999,337704.050068,534461.0939760399,47911.894799999995,992911.8584,2,3,220,5972,1
NZ90177,81,F,2003-07-27,BC_48,E,Software Engineer I,IA6,2016-06-12,2015-05-06,MR,Platinum,Retail,131497.0944,15962.660000000002,1,3127.8640000000005,57219.89880000001,725666.6011860002,233012.21138999998,506302.2478917,21798.321400000004,498564.84460000007,0,1,-403,7864,1
NZ60970,27,M,1998-09-10,BC_9,A,Accountant I,IA15,2015-07-08,2015-08-13,H,Gold,Retail,319205.9145,49416.0,1,9.5526,0.0,309361.938102,360077.00992199994,135307.81161576,17710.520399999998,945483.9752999999,3,4,36,9645,1
NZ24003,56,F,1990-11-16,BC_3,E,Automation Specialist IV,IA6,2015-12-02,2015-11-03,MR,Silver,Commercial,44088.512,32418.88,2,2795.52,1485747.3280000002,396706.9184000001,153723.93088000003,55588.55694080001,40504.256,717420.2880000001,1,2,-29,12500,1
NZ87800,33,M,2004-10-11,BC_34,E,Biostatistician I,IA9,2016-04-10,2015-07-21,H,Silver,Commercial,420683.6574,24472.55,1,1011.5625,820479.8999999999,1818216.1562499998,683649.27475,886562.1977874999,14157.724999999999,1549847.5875,1,3,-264,7422,1
NZ75987,79,F,2003-08-29,BC_10,E,Nurse,IA2,2015-09-10,2015-12-20,L,Jade,Private Bank,32062.522800000002,19653.48,1,1612.8189,231528.627,140280.047721,170536.528602,109748.50792290003,5492.470499999999,352732.7331,0,1,101,7831,1
NZ70083,56,M,2013-05-16,BC_5,E,Human Resources Manager,IA9,2015-08-21,2015-07-23,MR,Jade,Private Bank,92487.6506,23690.51,1,2199.1834,560657.2518,208470.98438399995,49811.651135999986,134675.94566399997,5026.454699999999,407139.67799999996,2,1,-29,4283,1
NZ31444,55,M,1990-10-19,BC_48,E,Analyst Programmer,IA17,2016-06-19,2015-10-10,MR,Gold,Private Bank,130572.5124,49441.920000000006,1,3225.2286000000004,120782.41560000001,370436.76509400003,206472.95103600004,264528.28668024,17000.1876,854418.2526,0,2,-253,12528,1
NZ70450,77,F,1989-04-08,BC_18,PI,Database Administrator III,IA12,2015-09-11,2015-04-06,H,Gold,Investments Only,54753.75,5311.0,1,1408.3374999999999,80386.105,11363.74795,14158.1122,4470.9828,8745.7225,390608.62,1,1,-158,13087,1
NZ47520,49,F,1994-12-02,BC_17,PI,Web Designer III,IA9,2015-09-17,2015-06-28,MR,Silver,Retail,180214.7886,9226.35,2,587.7144,791256.5891999999,1988033.001948,460993.15987199993,783688.3717824001,36763.448399999994,1991318.0994,2,2,-81,11023,1
NZ69076,67,F,1993-07-31,BC_4,E,Senior Editor,IA20,2016-05-14,2015-01-15,H,Jade,Private Bank,52826.77799999999,26160.46,2,2617.6122,385480.4256,295345.61293500004,277114.40226,86634.71312760001,20544.7023,71268.3279,2,1,-485,11512,1
NZ53190,66,M,2003-09-20,BC_27,E,Health Coach III,IA8,2015-09-14,2015-08-06,L,Gold,Investments Only,43622.88,19416.4,1,229.9,39047.14000000001,192729.768,87604.44,223391.322,16286.6,237137.34000000005,0,1,-39,7809,1
NZ58356,64,M,2014-09-27,BC_37,M,Web Developer I,IA4,2016-05-01,2014-12-31,MR,Silver,Retail,142841.26080000002,5405.0,1,3431.3884000000003,508939.36319999996,527832.843472,450589.01271999994,171867.52342320004,12316.3344,542464.522,0,2,-487,3784,1
NZ33691,49,M,2005-12-24,BC_14,M,Systems Administrator III,IA19,2015-07-16,2015-11-22,H,Silver,Private Bank,90437.656,12737.400000000001,3,2830.3616,573366.172,202406.31856,101203.15928,80786.52192960001,9723.8664,704110.0032000002,2,2,129,6983,1
NZ20398,65,M,2005-06-17,BC_20,PI,Biostatistician III,IA5,2015-06-10,2015-05-29,H,Jade,Retail,32301.4668,5597.4,1,1751.4162,310657.961,74293.469818,64447.347312,14035.200081280002,13795.280599999998,579453.8262,1,1,-12,7173,1
NZ54314,32,F,2003-09-19,BC_22,E,Project Manager,IA4,2016-02-16,2014-12-20,MR,Jade,Retail,293419.065,16443.25,1,4496.6275000000005,2183384.715,1490773.713375,634781.06505,281227.247607,399.20250000000004,1633759.2874999999,2,4,-423,7810,1
NZ74305,29,M,1996-08-28,BC_6,PI,Software Engineer III,IA5,2015-06-09,2015-11-09,H,Gold,Retail,55011.84,14206.199999999999,1,3955.056,479936.37600000005,1209655.584,474674.976,299657.71872,43547.801999999996,698612.484,3,1,153,10388,1
NZ37195,31,F,2012-01-02,BC_27,E,Engineer III,IA10,2016-03-21,2015-03-08,H,Jade,Private Bank,77971.4628,7820.400000000001,1,856.2084,478157.92159999994,61042.62239999999,29222.532,25358.66388,24984.354000000003,487689.4464,0,1,-379,4783,1
NZ52609,22,M,2002-03-27,BC_32,E,Health Coach I,IA2,2016-03-10,2015-07-17,H,Jade,Retail,84111.50520000001,18940.38,1,156.67200000000003,304608.17600000004,130415.94880000001,61947.57568000001,84900.7826688,3455.216000000001,356683.93600000005,3,1,-237,8351,1
NZ26283,58,F,2003-01-07,BC_42,E,Human Resources Assistant I,IA11,2016-04-01,2016-02-22,H,Jade,Retail,98369.29340000001,3050.25,1,1441.8936,213195.06530000002,376150.24699700007,235795.677222,198629.78714558002,23821.7763,312562.6112,3,2,-39,8065,1
NZ61913,75,M,2009-05-18,BC_41,I,Software Test Engineer II,IA2,2016-05-17,2015-12-26,H,Silver,Institutional,243490.73279999994,63872.759999999995,1,5578.339199999999,1045569.0336,428657.4512640001,214328.72563200002,382765.88883456,32217.3936,1105110.3504,1,3,-143,5742,1
NZ35876,18,M,2003-06-15,BC_16,I,Web Designer II,IA5,2015-08-07,2015-05-31,MR,Jade,Commercial,72431.33959999999,34975.159999999996,1,5303.502599999999,1210753.0797999997,205810.17679199998,127568.29139999999,29765.93466,25402.352799999997,1532523.4671999998,0,2,-68,7906,1
NZ19011,47,F,2000-07-25,BC_36,E,Sales Associate,IA5,2016-06-07,2014-12-28,MR,Silver,Retail,456003.99,25171.2,2,7969.454999999999,1248952.365,1050537.3457499999,674555.5588499999,237200.2743825,71113.77,1347657.8399999999,2,4,-527,8961,1
NZ86703,41,F,2014-11-04,BC_45,E,Biostatistician I,IA2,2016-01-06,2016-03-07,H,Platinum,Retail,71422.04160000001,32993.520000000004,1,4253.34,315175.42000000004,38234.015400000004,33404.455559999995,7799.739141600003,38428.488000000005,813247.1200000001,2,2,61,3746,1
NZ23640,36,F,2014-12-19,BC_5,E,Accounting Assistant III,IA21,2015-11-26,2016-04-25,L,Jade,Retail,39077.376,14707.68,2,1305.3768000000002,1187138.9088,717787.7020080001,144670.38955200004,242934.96953232,11997.928800000002,1231614.2904,0,2,151,3701,1
NZ93407,84,F,2007-01-02,BC_9,E,Dental Hygienist,IA8,2016-03-11,2015-02-06,H,Jade,Investments Only,274099.1211,26051.76,2,2461.9392000000003,563101.9506,0.0,0.0,0.0,4870.2402,520918.4862,3,2,-399,6609,1
NZ40136,26,M,1990-06-13,BC_48,E,Developer IV,IA20,2016-04-06,2015-11-22,MR,Silver,Commercial,260826.74799999996,53468.1,3,270.59999999999997,804359.9759999999,529324.3007999999,295539.40128,106261.85338559997,46060.056,296849.184,0,3,-136,12656,1
NZ76215,74,F,1995-09-25,BC_21,I,Engineer IV,IA18,2015-06-29,2015-07-28,L,Platinum,Retail,334331.8125,18591.75,2,1029.3,164253.285,641260.1524499999,500709.98204999993,396615.0120975001,46006.425,1094810.0175,1,3,29,10726,1
NZ93216,47,M,2008-10-29,BC_12,A,Software Consultant,IA3,2016-03-15,2015-06-21,H,Jade,Retail,61398.259000000005,20668.94,1,550.746,360003.86799999996,277273.3992,305000.73912,109324.94025599996,2850.729,118884.96899999998,2,1,-268,5943,1
NZ54572,82,F,2003-12-28,BC_37,E,Software Test Engineer II,IA2,2015-11-20,2014-11-13,H,Gold,Commercial,63246.3,18575.7,1,2914.1819999999993,448652.6999999999,537205.5151199999,362849.33916,93209.8692024,17124.282,237993.69599999997,0,1,-372,7710,1
NZ18649,25,M,2015-12-10,BC_17,E,Accountant II,IA11,2015-09-05,2015-09-12,MR,Platinum,Retail,158091.856,33824.44,3,1080.0296,207662.7592,177146.43689599997,177146.436896,70553.14986720002,17133.5944,235133.6936,0,2,7,3345,1
NZ51790,44,M,2013-05-29,BC_11,E,Software Engineer II,IA21,2016-03-20,2016-01-22,MR,Jade,Retail,131729.85,6664.0599999999995,2,6215.339999999999,863722.1,359436.79,161746.55550000002,166059.79697999996,41209.82,506592.1,2,2,-58,4270,1
NZ17740,38,F,2008-03-05,BC_16,A,Health Coach IV,IA13,2016-03-29,2016-04-22,H,Gold,Commercial,116926.9416,18431.28,2,3828.195,1049088.915,463600.46249999997,200893.53375,58413.65827500001,7382.34,1299697.245,1,2,24,6181,1
NZ49489,74,M,1992-04-26,BC_32,I,Associate Professor,IA3,2016-05-29,2015-06-12,H,Gold,Investments Only,148224.72,27518.0,2,27.808000000000007,302048.916,73076.61792,28675.634879999998,52337.65875840001,17272.56,456098.916,3,1,-352,11973,1
NZ50658,35,F,1989-05-12,BC_39,A,Computer Systems Analyst I,IA1,2015-12-24,2016-04-16,MR,Jade,Retail,348248.55519999994,65025.99999999999,1,3435.3572,1369215.6476,450525.3702240001,124963.24137599999,169226.53687391998,6690.9704,2698297.8302,0,3,114,13053,1
NZ14798,74,M,2011-06-12,BC_44,I,Health Coach I,IA10,2015-10-26,2015-09-06,H,Silver,Commercial,19637.777700000002,9527.23,2,78.1448,24331.267600000003,150917.76673600002,83660.935908,40993.858594920006,17286.2572,100054.71960000001,0,1,-50,4987,1
NZ60926,62,M,1992-08-30,BC_37,I,Electrical Engineer,IA5,2016-03-21,2015-03-26,MR,Jade,Investments Only,150304.49279999998,7326.44,1,767.0608,523866.0856,363305.25088,199374.8328,224185.92310400002,33854.224799999996,607800.0719999999,1,2,-361,11847,1
NZ57710,23,M,2000-07-23,BC_15,E,Statistician I,IA7,2015-10-09,2016-02-13,L,Jade,Retail,52109.1276,14277.05,1,209.684,205552.0472,329191.59110400005,116949.64420800001,88665.15618287999,6681.615999999999,1148304.5048,1,1,127,8963,1
NZ71795,68,M,2004-05-10,BC_30,E,Programmer Analyst III,IA5,2015-08-21,2015-12-06,MR,Platinum,Retail,156091.75009999998,20609.04,3,382.87199999999996,707577.9,435466.0224,112495.38912,252896.8925088,35301.624,837133.632,2,1,107,7576,1
NZ98220,79,M,1990-10-12,BC_25,I,Human Resources Assistant II,IA11,2015-09-30,2015-05-16,H,Jade,Investments Only,338383.13,57267.049999999996,1,3505.859,1565513.7225,730384.0211499999,497152.14885000006,144603.76082599993,74778.17199999999,884890.5449999999,1,4,-137,12535,1
NZ91662,29,F,2015-11-09,BC_22,E,Assistant Professor,IA18,2016-07-04,2015-12-04,H,Silver,Retail,198553.59160000004,20851.74,1,5581.3121,414518.5681,1144704.0114509999,696263.264697,570935.8770515401,40208.750400000004,1522411.2267,3,4,-213,3376,1
NZ18901,52,M,1999-07-24,BC_45,E,Accounting Assistant III,IA9,2016-02-23,2015-02-21,MR,Silver,Commercial,190119.93,47110.05,1,3525.21,527884.11,99616.37399999998,122860.1946,23741.902469999997,6920.9400000000005,136723.47,1,2,-367,9328,1
NZ49888,68,F,1999-10-14,BC_36,I,Administrative Assistant I,IA2,2015-10-11,2015-12-17,MR,Jade,Retail,147956.79360000003,52216.520000000004,1,2977.8560000000007,701005.5808000001,720211.8533120002,302231.7598720001,279467.92093696,23058.963200000006,1504310.0352000003,3,2,67,9246,1
NZ76081,41,M,2006-09-20,BC_32,PI,Geologist IV,IA7,2016-07-03,2016-05-27,MR,Gold,Investments Only,91071.75000000001,33111.54,1,8062.645800000001,677123.9442,558283.302786,298923.343224,147703.2990048,7880.756400000001,1554534.9402000003,0,2,-37,6713,1
NZ93705,70,M,1995-07-16,BC_35,I,Help Desk Operator,IA5,2015-09-07,2016-04-09,MR,Gold,Retail,96545.36760000001,23191.74,1,3386.4468000000006,1104753.0252,1268890.972272,630243.8604000001,252097.54416,39556.0506,1941061.8744,3,2,215,10797,1
NZ52847,32,F,2012-03-06,BC_41,A,Assistant Media Planner,IA11,2015-09-26,2015-05-12,H,Jade,Investments Only,63765.0,11354.0,1,2644.75,1012372.6699999999,1568405.3218,541210.2871,478805.42746499996,62053.28999999999,1665045.8499999999,3,2,-137,4719,1
NZ24592,47,M,2004-06-05,BC_9,I,Technical Writer,IA10,2015-06-13,2015-02-18,MR,Jade,Investments Only,191715.4008,31923.72,1,1296.4536,402401.84400000004,269460.700704,316098.12967200007,121257.3153168,19337.292,673780.4424,0,2,-115,7550,1
NZ31656,83,M,2008-10-15,BC_12,A,Human Resources Assistant I,IA4,2015-06-16,2015-01-04,MR,Silver,Private Bank,218312.27399999998,21480.879999999997,2,5886.562,1757312.986,1099352.8326,389770.54974,402363.13673160004,30773.908000000003,735797.502,1,5,-163,5957,1
NZ85060,24,M,2002-11-03,BC_39,E,Software Consultant,IA13,2015-11-20,2014-11-19,H,Platinum,Commercial,157167.46889999998,31498.249999999996,1,1909.3044,597244.5318,262988.535279,128881.798746,51169.55739401999,42714.8045,836453.628,3,1,-366,8130,1
NZ89139,84,F,2011-03-27,BC_29,E,Administrative Assistant IV,IA3,2016-01-27,2015-11-03,L,Gold,Institutional,101929.59,13019.3,1,1163.8059999999998,614181.3019999999,445914.2447899999,137911.62209999998,373280.79048399994,12590.017999999998,516128.9489999999,3,1,-85,5064,1
NZ81423,29,M,2005-11-17,BC_5,I,Recruiter,IA3,2016-07-17,2015-07-18,H,Jade,Investments Only,40985.49,19729.5,3,646.125,358194.375,186144.375,114664.93500000001,37333.11584999999,13412.625,222160.875,1,1,-365,7020,1
NZ85541,85,M,2015-05-31,BC_11,M,Staff Scientist,IA12,2015-06-18,2015-01-01,H,Jade,Retail,109218.7008,6820.8,1,2767.2960000000003,587928.768,198995.42880000002,128873.23008000002,68530.2352896,13413.792,566786.3040000001,2,1,-168,3538,1
NZ59219,51,M,2011-07-18,BC_45,E,Web Developer III,IA9,2015-08-12,2016-06-02,H,Jade,Retail,174258.5152,34182.52,1,5185.776400000001,648432.6688,1125389.6675080003,830895.175076,198783.7823916,36318.32520000001,452950.7736,3,3,295,4951,1
NZ43444,59,F,2015-08-02,BC_42,E,Senior Developer,IA21,2015-08-17,2015-02-05,H,Jade,Investments Only,74059.23479999999,14702.599999999999,2,1361.5608,374815.98939999996,384271.047739,216865.838823,124336.41425851999,8446.3977,962931.9900999999,2,1,-193,3475,1
NZ85299,84,M,1990-04-09,BC_42,I,Health Coach IV,IA2,2016-02-25,2016-02-27,H,Silver,Private Bank,158874.1406,38794.28,1,2366.2786,261364.7603,127418.48128100001,101648.451359,46915.77114132999,40839.4567,334072.2245,0,2,2,12721,1
NZ58136,69,F,1994-09-28,BC_33,I,Office Assistant II,IA16,2016-04-15,2015-03-14,MR,Jade,Retail,71958.90000000001,13998.9,1,2756.8319999999994,124510.614,199185.61835999996,120782.76857999997,81093.9746238,15957.534,639874.9199999999,1,1,-398,11088,1
NZ35725,17,F,2009-07-21,BC_22,E,Operator,IA22,2015-08-19,2014-12-03,H,Jade,Commercial,189074.1909,13258.42,1,4138.7784,291504.549,247346.43250000002,81405.155,162184.1165,11482.618400000001,358381.3591,3,3,-259,5678,1
NZ15648,78,F,2001-09-24,BC_10,PI,Software Engineer III,IA14,2016-07-10,2016-04-25,H,Platinum,Retail,74408.6892,28689.62,2,494.7600000000001,24949.0976,188138.62502400004,218375.18976000007,61145.0531328,12141.516800000001,326434.34880000004,2,1,-76,8535,1
NZ48116,25,F,2016-02-22,BC_26,M,Dental Hygienist,IA11,2015-07-19,2016-04-27,H,Jade,Retail,447928.0644000001,42888.810000000005,1,3074.9334000000003,841124.6151,611852.16708,222491.69712000003,457697.2055040001,33497.7258,347546.2452,3,5,283,3271,1
NZ28531,61,F,1998-05-08,BC_28,PI,Web Designer I,IA3,2015-08-25,2014-11-08,MR,Gold,Retail,309939.20999999996,51303.6,2,10999.170000000002,1198037.8440000003,1457194.61376,691706.3040000001,145258.32384,44952.264,3619311.372,3,4,-290,9770,1
NZ45135,61,M,2007-11-10,BC_42,I,Editor,IA18,2015-11-19,2015-12-06,L,Silver,Retail,151227.36119999996,25749.749999999996,1,397.404,455965.0704,212193.81792000003,276609.79835999996,79800.03223920002,13699.1064,796820.2368000001,2,2,17,6297,1
